Location	Name	ID	Count	Slots
Charm	Serpent Seeker's Charm of Lore	53505	1	6
Charm-Slot1	Wanderlust Guild Loadstone	53631	1	6
Ear	Aelly's Earring	39276	1	6
Ear-Slot1	Crest of Valor	79659	1	6
Head	Sanguine Energeiac Plate Helm	80517	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Head-Slot3	Empty	0	0	0
Face	Face of Unfeeling	71667	1	6
Face-Slot1	Scale of Vergalid's Spawn	51913	1	6
Ear	Hanvar's Hoop	47286	1	6
Ear-Slot1	Gemstone of Fiery Might	70305	1	6
Neck	Choker of Imprisoned Visions	47274	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Shroud of Eternal Agony	47278	1	6
Shoulders-Slot1	Deep Emerald Stone	51927	1	6
Arms	Sanguine Energeiac Plate Vambraces	80518	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Arms-Slot3	Empty	0	0	0
Back	Gnoll Brewer's Cloak	41442	1	6
Back-Slot1	Fabled Rockhopper Spirit Fetish	34049	1	6
Wrist	Paragon's Plate Wristguard	89364	1	6
Wrist-Slot1	Tainted Brownie Heart	101155	1	6
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Wrist	Paragon's Plate Wristband	89365	1	6
Wrist-Slot1	Rot-Covered Tombstone Shard	39541	1	6
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Range	Empty	0	0	0
Hands	Paragon's Plate Gauntlets	89366	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Hands-Slot3	Empty	0	0	0
Primary	Fiery Defender	10099	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Fabled Moss Encrusted Band	76097	1	6
Fingers-Slot1	Vermin Model IV's Diseased Bauble	46811	1	6
Fingers	Ring of Deterrence	47291	1	6
Fingers-Slot1	Portal Scrap	51926	1	6
Chest	Sanguine Energeiac Plate Breastplate	80520	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Chest-Slot3	Empty	0	0	0
Legs	Sanguine Energeiac Plate Greaves	80519	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Legs-Slot3	Empty	0	0	0
Feet	Eon Forged Plate Boots	104402	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Feet-Slot3	Empty	0	0	0
Waist	Darkened Thick Banded Belt	41302	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Misty Energeian Light Orb	80721	1	6
Ammo	Dreadmare Saddle	66311	1	6
General 1	Weapon Crate of the Mercenary	52299	1	20
General 1-Slot1	Paragon's Targe	89418	1	6
General 1-Slot1-Slot1	Empty	0	0	0
General 1-Slot1-Slot2	Empty	0	0	0
General 1-Slot1-Slot3	Empty	0	0	0
General 1-Slot2	Fabled Gem Encrusted Axe	76152	1	6
General 1-Slot2-Slot1	Empty	0	0	0
General 1-Slot2-Slot2	Empty	0	0	0
General 1-Slot3	Fabled Spear of Fire	42903	1	6
General 1-Slot3-Slot1	Empty	0	0	0
General 1-Slot3-Slot2	Empty	0	0	0
General 1-Slot4	Paragon's Claymore	89429	1	6
General 1-Slot4-Slot1	Empty	0	0	0
General 1-Slot4-Slot2	Empty	0	0	0
General 1-Slot5	Orb of Striking	80673	1	6
General 1-Slot5-Slot1	Empty	0	0	0
General 1-Slot5-Slot2	Empty	0	0	0
General 1-Slot6	Fabled Tactician's Shield	76261	1	6
General 1-Slot6-Slot1	Empty	0	0	0
General 1-Slot6-Slot2	Lightning Shield Ornamentation	67143	1	6
General 1-Slot7	Crimson Talisman	67336	1	6
General 1-Slot7-Slot1	Adventurer's Stone	41000	1	6
General 1-Slot8	Lance of Solteris	80683	1	6
General 1-Slot8-Slot1	Empty	0	0	0
General 1-Slot8-Slot2	Empty	0	0	0
General 1-Slot9	Elegant Defiant Fireborn Axe	50622	1	6
General 1-Slot9-Slot1	Empty	0	0	0
General 1-Slot9-Slot2	Empty	0	0	0
General 1-Slot10	Fabled Flame Idol of Ro	76181	1	6
General 1-Slot10-Slot1	Empty	0	0	0
General 1-Slot11	House Clock Pendulum Bob	122063	1	6
General 1-Slot11-Slot1	Empty	0	0	0
General 1-Slot11-Slot2	Empty	0	0	0
General 1-Slot12	Empty	0	0	0
General 1-Slot13	Empty	0	0	0
General 1-Slot14	Empty	0	0	0
General 1-Slot15	Empty	0	0	0
General 1-Slot16	Empty	0	0	0
General 1-Slot17	Empty	0	0	0
General 1-Slot18	Empty	0	0	0
General 1-Slot19	Empty	0	0	0
General 1-Slot20	Empty	0	0	0
General 2	Weapon Crate of the Mercenary	52299	1	20
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Empty	0	0	0
General 2-Slot3	Empty	0	0	0
General 2-Slot4	Empty	0	0	0
General 2-Slot5	Empty	0	0	0
General 2-Slot6	Empty	0	0	0
General 2-Slot7	Empty	0	0	0
General 2-Slot8	Empty	0	0	0
General 2-Slot9	Empty	0	0	0
General 2-Slot10	Empty	0	0	0
General 2-Slot11	Empty	0	0	0
General 2-Slot12	Empty	0	0	0
General 2-Slot13	Empty	0	0	0
General 2-Slot14	Empty	0	0	0
General 2-Slot15	Empty	0	0	0
General 2-Slot16	Empty	0	0	0
General 2-Slot17	Empty	0	0	0
General 2-Slot18	Empty	0	0	0
General 2-Slot19	Empty	0	0	0
General 2-Slot20	Empty	0	0	0
General 3	Ivory Traveler's Pack	64063	1	18
General 3-Slot1	Empty	0	0	0
General 3-Slot2	Empty	0	0	0
General 3-Slot3	Empty	0	0	0
General 3-Slot4	Empty	0	0	0
General 3-Slot5	Empty	0	0	0
General 3-Slot6	Empty	0	0	0
General 3-Slot7	Empty	0	0	0
General 3-Slot8	Empty	0	0	0
General 3-Slot9	Empty	0	0	0
General 3-Slot10	Empty	0	0	0
General 3-Slot11	Empty	0	0	0
General 3-Slot12	Empty	0	0	0
General 3-Slot13	Empty	0	0	0
General 3-Slot14	Empty	0	0	0
General 3-Slot15	Empty	0	0	0
General 3-Slot16	Empty	0	0	0
General 3-Slot17	Empty	0	0	0
General 3-Slot18	Empty	0	0	0
General 4	Weapon Crate of the Mercenary	52299	1	20
General 4-Slot1	Empty	0	0	0
General 4-Slot2	Empty	0	0	0
General 4-Slot3	Empty	0	0	0
General 4-Slot4	Empty	0	0	0
General 4-Slot5	Empty	0	0	0
General 4-Slot6	Empty	0	0	0
General 4-Slot7	Empty	0	0	0
General 4-Slot8	Empty	0	0	0
General 4-Slot9	Empty	0	0	0
General 4-Slot10	Empty	0	0	0
General 4-Slot11	Empty	0	0	0
General 4-Slot12	Empty	0	0	0
General 4-Slot13	Empty	0	0	0
General 4-Slot14	Empty	0	0	0
General 4-Slot15	Empty	0	0	0
General 4-Slot16	Empty	0	0	0
General 4-Slot17	Empty	0	0	0
General 4-Slot18	Empty	0	0	0
General 4-Slot19	Empty	0	0	0
