RealEstateLocation	RealEstateName	ItemName	ItemOwner	Status	ID	Count
Neighborhood	Chivalry Village, 112 Vanward Street	Estate Storage Crate	Alandross	Placed	62595	1
Neighborhood	Chivalry Village, 112 Vanward Street	Zimel Style Stone Domicile, Stone Interior	Alandross	Placed	61885	1
Plot	Chivalry Village, 112 Vanward Street, Estate Storage Crate	Glowing Black Drum	Nuldaan	Stored	59509	1
Plot	Chivalry Village, 112 Vanward Street, Estate Storage Crate	Glowing Black Drum	Altarion	Stored	59509	1
Plot	Chivalry Village, 112 Vanward Street, Estate Storage Crate	Glowing Black Drum	Sethgare	Stored	59509	1
Plot	Chivalry Village, 112 Vanward Street, Estate Storage Crate	Crate of Eviction	Kaalix	Stored	52147	1
Plot	Chivalry Village, 112 Vanward Street, Estate Storage Crate	Mottled Worg Bridle	Naraew	Stored	40489	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Corroded Plate Gauntlets	Talarion	Stored	24934	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Tattered Silk Pantaloons	Talarion	Stored	24978	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Tattered Silk Sleeves	Talarion	Stored	24979	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Tattered Silk Wristband	Talarion	Stored	24981	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Unadorned Plate Greaves	Talarion	Stored	24957	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Unadorned Leather Bracelet	Talarion	Stored	24974	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Tattered Silk Boots	Talarion	Stored	24980	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Unadorned Plate Bracer	Talarion	Stored	24960	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Unadorned Leather Tunic	Talarion	Stored	24970	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Unadorned Plate Gauntlets	Talarion	Stored	24962	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Unadorned Leather Sleeves	Talarion	Stored	24972	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Eroded Leather Leggings	Talarion	Stored	24943	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Vambraces	Alandross	Stored	24902	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Plate Gauntlets	Alandross	Stored	24906	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Plate Helmet	Alandross	Stored	24905	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Plate Bracelet	Alandross	Stored	24904	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Greaves	Alandross	Stored	24901	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Chain Sleeves	Alandross	Stored	24909	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Plate Boots	Alandross	Stored	24903	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Chain Leggings	Alandross	Stored	24908	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Tarnished Chain Coif	Alandross	Stored	24912	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Silk Turban	Alandross	Stored	24926	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Silk Sleeves	Alandross	Stored	24923	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Silk Boots	Alandross	Stored	24924	1
Plot	Chivalry Village, 112 Vanward Street, Three Room House	Ancient Silk Pantaloons	Alandross	Stored	24922	1
