Location	Name	ID	Count	Slots
Charm	Heroic Seal of the Adventurer	93849	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Empty	0	0	0
Ear	Heroic Earring of the Guardian	93827	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Empty	0	0	0
Head	Heroic Ironhand Helm	93708	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Heroic Faceplate of the Guardian	93831	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Empty	0	0	0
Ear	Heroic Earring of the Adventurer	93824	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Empty	0	0	0
Neck	Heroic Gorget of the Combatant	93832	1	6
Neck-Slot1	Empty	0	0	0
Neck-Slot2	Empty	0	0	0
Shoulders	Heroic Pauldrons of the Guardian	93834	1	6
Shoulders-Slot1	Empty	0	0	0
Shoulders-Slot2	Empty	0	0	0
Arms	Heroic Ironhand Vambraces	93709	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Heroic Drape of the Combatant	93837	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Empty	0	0	0
Wrist	Heroic Ironhand Bracer	93705	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Heroic Ironhand Bracer	93705	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Heroic Doll of the Guardian	93839	1	6
Range-Slot1	Empty	0	0	0
Range-Slot2	Empty	0	0	0
Hands	Heroic Ironhand Gauntlets	93706	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Dreampiercer	122061	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Heroic Sword of the Specter	93852	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Fingers	Heroic Ring of the Guardian	93846	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Empty	0	0	0
Fingers	Heroic Ring of the Adventurer	93843	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Empty	0	0	0
Chest	Heroic Ironhand Breastplate	93711	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Chest-Slot3	Empty	0	0	0
Legs	Heroic Ironhand Greaves	93710	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Heroic Ironhand Boots	93707	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Heroic Belt of the Combatant	93847	1	6
Waist-Slot1	Empty	0	0	0
Waist-Slot2	Empty	0	0	0
Power Source	Pure Energeian Metal Orb	66278	1	6
Ammo	Jungle Raptor Saddle	93862	1	6
General 1	Heroic Satchel of the Adventurer	93861	1	24
General 1-Slot1	Mournful Axe of Trapped Souls	122261	1	6
General 1-Slot1-Slot1	Empty	0	0	0
General 1-Slot1-Slot2	Empty	0	0	0
General 1-Slot2	Heroic Bulwark	93821	1	6
General 1-Slot2-Slot1	Empty	0	0	0
General 1-Slot2-Slot2	Empty	0	0	0
General 1-Slot2-Slot3	Empty	0	0	0
General 1-Slot3	Glowing Black Drum	59509	1	6
General 1-Slot4	Shield of Spiteful Dreams	120090	1	6
General 1-Slot4-Slot1	Empty	0	0	0
General 1-Slot4-Slot2	Empty	0	0	0
General 1-Slot4-Slot3	Empty	0	0	0
General 1-Slot5	Heroic Dream Meat Steaks	93863	13	6
General 1-Slot6	Cloudy Potion	14514	16	6
General 1-Slot7	Empty	0	0	0
General 1-Slot8	Spell: Monster Summoning II	30402	1	6
General 1-Slot9	Empty	0	0	0
General 1-Slot10	Empty	0	0	0
General 1-Slot11	Bone Chips	13073	2	6
General 1-Slot12	Empty	0	0	0
General 1-Slot13	Empty	0	0	0
General 1-Slot14	Empty	0	0	0
General 1-Slot15	Empty	0	0	0
General 1-Slot16	Empty	0	0	0
General 1-Slot17	Empty	0	0	0
General 1-Slot18	Empty	0	0	0
General 1-Slot19	Empty	0	0	0
General 1-Slot20	Empty	0	0	0
General 1-Slot21	Empty	0	0	0
General 1-Slot22	Empty	0	0	0
General 1-Slot23	Trader's Satchel	17899	1	10
General 1-Slot23-Slot1	Empty	0	0	0
General 1-Slot23-Slot2	Empty	0	0	0
General 1-Slot23-Slot3	Empty	0	0	0
General 1-Slot23-Slot4	Empty	0	0	0
General 1-Slot23-Slot5	Empty	0	0	0
General 1-Slot23-Slot6	Empty	0	0	0
General 1-Slot23-Slot7	Empty	0	0	0
General 1-Slot23-Slot8	Empty	0	0	0
General 1-Slot23-Slot9	Empty	0	0	0
General 1-Slot23-Slot10	Empty	0	0	0
General 1-Slot24	Diamond	10037	2	6
General 2	Heroic Satchel of the Adventurer	93861	1	24
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Empty	0	0	0
General 2-Slot3	Empty	0	0	0
General 2-Slot4	Empty	0	0	0
General 2-Slot5	Empty	0	0	0
General 2-Slot6	Empty	0	0	0
General 2-Slot7	Empty	0	0	0
General 2-Slot8	Empty	0	0	0
General 2-Slot9	Empty	0	0	0
General 2-Slot10	Empty	0	0	0
General 2-Slot11	Empty	0	0	0
General 2-Slot12	Grade A Caladium Extract	44868	2	6
General 2-Slot13	Empty	0	0	0
General 2-Slot14	Empty	0	0	0
General 2-Slot15	Empty	0	0	0
General 2-Slot16	Empty	0	0	0
General 2-Slot17	Empty	0	0	0
General 2-Slot18	Empty	0	0	0
General 2-Slot19	Empty	0	0	0
General 2-Slot20	Empty	0	0	0
General 2-Slot21	Empty	0	0	0
General 2-Slot22	Bayle Mark	46779	100	6
General 2-Slot23	Hasty Bard	66960	1	6
General 2-Slot24	Primary Anchor Transport Device	57851	1	6
General 3	Trader's Satchel	17899	1	10
General 3-Slot1	Empty	0	0	0
General 3-Slot2	Empty	0	0	0
General 3-Slot3	Empty	0	0	0
General 3-Slot4	Empty	0	0	0
General 3-Slot5	Empty	0	0	0
General 3-Slot6	Empty	0	0	0
General 3-Slot7	Empty	0	0	0
General 3-Slot8	Empty	0	0	0
General 3-Slot9	Empty	0	0	0
General 3-Slot10	Empty	0	0	0
General 4	Trader's Satchel	17899	1	10
General 4-Slot1	Empty	0	0	0
