Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Siren Hair Earring	24741	1	6
Ear-Slot1	Empty	0	0	0
Head	Shadow Crown	31126	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Flayed Barbarian Hide Mask	25213	1	6
Face-Slot1	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Silver Disk	31347	1	6
Neck-Slot1	Empty	0	0	0
Neck-Slot2	Empty	0	0	0
Shoulders	Barbed Dragonscale Pauldrons	25028	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Shadow Vambraces	31128	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Cloak of the Maelstrom	25023	1	6
Back-Slot1	Empty	0	0	0
Wrist	Shadow Bracer	31129	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Mrylokar's Bracer	4553	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Gloomingdeep Lantern	9979	1	6
Range-Slot1	Empty	0	0	0
Hands	Shadow Gauntlets	31130	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Ikatiar's Stinger	31392	1	6
Primary-Slot1	Piercing Emerald Dragon Ornament	54988	1	6
Primary-Slot2	Empty	0	0	0
Secondary	Exquisite Velium Spear	27035	1	6
Secondary-Slot1	Riftseeker Short Spear Ornament	40725	1	6
Secondary-Slot2	Empty	0	0	0
Fingers	Runed Walrus Fang Ring	24743	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Ring of the Frozen Flame	25561	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Fungus Covered Scale Tunic	2735	1	6
Chest-Slot1	Empty	0	0	0
Legs	Shadow Greaves	31131	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Shadow Boots	31132	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Runed Bolster Belt	11601	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Empty	0	0	0
General 1	Backpack*	32601	1	8
General 1-Slot1	Holgresh Elder Beads	24890	1	6
General 1-Slot1-Slot1	Empty	0	0	0
General 1-Slot2	Vibrating Gauntlets of Infuse	11668	1	6
General 1-Slot3	Scimitar of the Mistwalker	11604	1	6
General 1-Slot3-Slot1	Empty	0	0	0
General 1-Slot3-Slot2	Empty	0	0	0
General 1-Slot4	Orb of the Infinite Void	25098	1	6
General 1-Slot4-Slot1	Empty	0	0	0
General 1-Slot4-Slot2	Empty	0	0	0
General 1-Slot5	Guise of the Deceiver	2469	1	6
General 1-Slot5-Slot1	Empty	0	0	0
General 1-Slot6	Rubicite Breastplate	4164	1	6
General 1-Slot6-Slot1	Empty	0	0	0
General 1-Slot6-Slot2	Empty	0	0	0
General 1-Slot7	Ton Po's Bo Stick of Understanding	6631	1	6
General 1-Slot7-Slot1	Empty	0	0	0
General 1-Slot7-Slot2	Empty	0	0	0
General 1-Slot8	Fungus Covered Great Staff	10895	1	6
General 1-Slot8-Slot1	Empty	0	0	0
General 1-Slot8-Slot2	Empty	0	0	0
General 2	Tailored Immaculate Backpack	124462	1	10
General 2-Slot1	Griffon Feathers	16538	1	6
General 2-Slot2	Grade E Nigriventer Venom	44747	1	6
General 2-Slot3	Simple Defiant Hammer	50523	1	6
General 2-Slot3-Slot1	Empty	0	0	0
General 2-Slot3-Slot2	Empty	0	0	0
General 2-Slot4	Simple Defiant Spear	50531	1	6
General 2-Slot4-Slot1	Empty	0	0	0
General 2-Slot4-Slot2	Empty	0	0	0
General 2-Slot5	Shiny Brass Halberd	5361	1	6
General 2-Slot5-Slot1	Empty	0	0	0
General 2-Slot5-Slot2	Empty	0	0	0
General 2-Slot6	Simple Defiant Shortsword	50525	1	6
General 2-Slot6-Slot1	Empty	0	0	0
General 2-Slot6-Slot2	Empty	0	0	0
General 2-Slot7	Crude Defiant Chain Boots	50014	1	6
General 2-Slot7-Slot1	Empty	0	0	0
General 2-Slot7-Slot2	Empty	0	0	0
