RealEstateLocation	RealEstateName	ItemName	ItemOwner	Status	ID	Count
Neighborhood	Chivalry Village, 111 Vanward Street	Monel Style Brick Domicile, Stone Interior	Felerando	Placed	61894	1
Neighborhood	Chivalry Village, 111 Vanward Street	Estate Storage Crate	Nuldaan	Stored	62595	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Flawed Defiant Quartz	Nuldaan	Stored	50570	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Accursed Pantaloons	Nuldaan	Stored	52074	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Anatase Gem	Nuldaan	Stored	51731	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Archaic Chain Boots	Nuldaan	Stored	103309	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Balanced Mindhallow Plate Boots	Nuldaan	Stored	103673	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Belt of the Falls	Nuldaan	Stored	46581	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Belt of the Stagnant	Nuldaan	Stored	47284	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Blackened Ukun Hide Cloak	Nuldaan	Stored	79892	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Blackiron Belt	Nuldaan	Stored	46555	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Bloodfiend`s Throat Gem	Nuldaan	Stored	41366	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Boots of Slaughter	Nuldaan	Stored	70195	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Brass Facade	Nuldaan	Stored	105724	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Brute's Bangle of Sluggish Precision	Nuldaan	Stored	120327	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Ceremonial Jade-Inlaid Cuirass	Nuldaan	Stored	68748	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Choker of Fangs	Nuldaan	Stored	105514	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Concordant Firesoul Plate Breastplate	Nuldaan	Stored	103348	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Coolant Coverplate	Nuldaan	Stored	60375	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Concordant Mindhallow Plate Greaves	Nuldaan	Stored	103340	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Coral Ring	Nuldaan	Stored	40172	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Cracked Ancient Earring	Nuldaan	Stored	32968	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Darkened Crown of the Froglok Kings	Nuldaan	Stored	41338	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Darkened Enameled Black Chestplate	Nuldaan	Stored	41304	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Darkened Flowing Black Silk Sash	Nuldaan	Stored	41318	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Darkened Silversilk Leggings	Nuldaan	Stored	41323	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Duskwalker Cape	Nuldaan	Stored	70264	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Dwerium Trio Earring	Nuldaan	Stored	37791	1
Plot	Chivalry Village, 111 Vanward Street, Three Room House	Dwerium Trio Ring	Nuldaan	Stored	37785	1
