Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Earring of the Icecaster	31370	1	6
Ear-Slot1	Empty	0	0	0
Head	Crown of the Kromzek Kings	25194	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Tobrin's Mystical Eyepatch	11052	1	6
Face-Slot1	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Ayillish's Talisman	27249	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Empty	0	0	0
Arms	Empty	0	0	0
Back	Empty	0	0	0
Wrist	Golden Chitin Bracer	4408	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Bracelet of Comprehension	7940	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Festive Doll	69229	1	6
Range-Slot1	Empty	0	0	0
Hands	Coldain Skin Gloves	25026	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Staff of the Silent Star	31326	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Vermilion Orb of Torrefaction	25297	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Fingers	Brilliant Stone Ring	8735	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Ring of Lightning	25198	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Celestial Essence Robe	29333	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Legs	Empty	0	0	0
Feet	Golden Efreeti Boots	4407	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Belt of Thunderous Auras	15926	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Journeyman Mechanist Trophy	95074	1	6
Ammo-Slot1	Empty	0	0	0
General 1	Backpack*	32601	1	8
General 1-Slot1	Ancient Turquoise Fragment of Intellect	41042	1	6
General 1-Slot2	Vermilion Robe of Torrefaction	25094	1	6
General 1-Slot2-Slot1	Empty	0	0	0
General 1-Slot2-Slot2	Empty	0	0	0
General 1-Slot3	Empty	0	0	0
General 1-Slot4	Empty	0	0	0
General 1-Slot5	Empty	0	0	0
General 1-Slot6	Empty	0	0	0
General 1-Slot7	Water Flask	13006	584	6
General 1-Slot8	Empty	0	0	0
General 2	Backpack*	32601	1	8
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Empty	0	0	0
General 2-Slot3	Empty	0	0	0
General 2-Slot4	Spell: Frost Shock	15464	1	6
General 2-Slot5	Spell: Cast Force	15461	1	6
General 2-Slot6	Spell: O`Keil's Levity	26968	1	6
General 2-Slot7	Spell: Minor Familiar	7653	1	6
General 2-Slot8	Empty	0	0	0
General 3	Backpack	17005	1	8
General 3-Slot1	Fresh Fish	13019	37	6
General 3-Slot2	Grease	16852	33	6
General 3-Slot3	Chipped Owlbear Beak	3815	1	6
General 3-Slot4	Empty	0	0	0
General 3-Slot5	Sullied Silk	34214	3	6
General 3-Slot6	Cat's Eye Agate	10026	2	6
General 3-Slot7	Ognit's Mini Dirigible Device	61061	1	6
General 3-Slot8	Empty	0	0	0
General 4	Backpack	17005	1	8
General 4-Slot1	Spongy Fungal Fiend Flesh	10712	14	6
General 4-Slot2	Empty	0	0	0
General 4-Slot3	Tacky Silk	34213	1	6
General 4-Slot4	Empty	0	0	0
General 4-Slot5	Empty	0	0	0
General 4-Slot6	Empty	0	0	0
General 4-Slot7	Empty	0	0	0
General 4-Slot8	Empty	0	0	0
General 5	Backpack	17005	1	8
General 5-Slot1	Empty	0	0	0
General 5-Slot2	Empty	0	0	0
General 5-Slot3	Empty	0	0	0
General 5-Slot4	Empty	0	0	0
General 5-Slot5	Empty	0	0	0
General 5-Slot6	Empty	0	0	0
General 5-Slot7	Empty	0	0	0
General 5-Slot8	Empty	0	0	0
General 6	Backpack	17005	1	8
