Location	Name	ID	Count	Slots
Charm	Serpent Seeker's Charm of Lore	53505	1	6
Charm-Slot1	Wanderlust Guild Loadstone	53631	1	6
Ear	Fabled Earring of Unseen Horrors	76240	1	6
Ear-Slot1	Empty	0	0	0
Head	Mystical Energeiac Chain Coif	80566	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Head-Slot3	Empty	0	0	0
Face	Master Brewer's Mask	41444	1	6
Face-Slot1	Fossilized Griffon Eye	80385	1	6
Ear	Britalic's Earring	70719	1	6
Ear-Slot1	Empty	0	0	0
Neck	Fabled Tormentor's Chain Collar	79798	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Darkened Embroidered Black Cape	41301	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Mystical Energeiac Chain Sleeves	80567	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Arms-Slot3	Empty	0	0	0
Back	Cloak of the Sun God	80689	1	6
Back-Slot1	Empty	0	0	0
Wrist	Paragon's Chain Bracer	89372	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Wrist	Paragon's Chain Wristguard	89373	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Range	Wand of Fury	39287	1	6
Range-Slot1	Empty	0	0	0
Hands	Paragon's Chain Gauntlets	89374	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Hands-Slot3	Empty	0	0	0
Primary	Paragon's Scepter	89427	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Paragon's Aegis	89419	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Secondary-Slot3	Empty	0	0	0
Fingers	Diamond Ring of Planar Health	80656	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Band of Corporeal Resurgence	101016	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Mystical Energeiac Chain Coat	80569	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Chest-Slot3	Empty	0	0	0
Legs	Mystical Energeiac Chain Leggings	80568	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Legs-Slot3	Empty	0	0	0
Feet	Eon Linked Chain Boots	104409	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Feet-Slot3	Empty	0	0	0
Waist	Elaborate Adept's Belt	50441	1	6
Waist-Slot1	Shard of Expanding Power	80397	1	6
Power Source	Empty	0	0	0
Ammo	Glowing Black Drum	59509	1	6
General 1	Backpack*	32601	1	8
General 1-Slot1	Bundle of Angurth	95894	20	6
General 1-Slot2	Mottled Worg Bridle	40489	1	6
General 1-Slot3	Philter of the Wolf V	96477	18	6
General 1-Slot4	Philter of the Wolf V	96477	20	6
General 1-Slot5	Bundle of Angurth	95894	14	6
General 1-Slot6	Basic Suspension of Slime VII	96149	8	6
General 1-Slot7	Elaborate Adept's Hood	50436	1	6
General 1-Slot7-Slot1	Empty	0	0	0
General 1-Slot8	Geerlok Alchemy Set	65446	1	6
General 1-Slot8-Slot1	Empty	0	0	0
General 2	Backpack*	32601	1	8
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Empty	0	0	0
General 2-Slot3	Empty	0	0	0
General 2-Slot4	Empty	0	0	0
General 2-Slot5	Empty	0	0	0
General 2-Slot6	Empty	0	0	0
General 2-Slot7	Empty	0	0	0
General 2-Slot8	Empty	0	0	0
General 3	Backpack	17005	1	8
General 3-Slot1	Empty	0	0	0
General 3-Slot2	Empty	0	0	0
General 3-Slot3	Empty	0	0	0
General 3-Slot4	Empty	0	0	0
General 3-Slot5	Empty	0	0	0
General 3-Slot6	Empty	0	0	0
General 3-Slot7	Empty	0	0	0
General 3-Slot8	Empty	0	0	0
General 4	Backpack	17005	1	8
General 4-Slot1	Advanced Friable Potion Vial Sketch	96894	95	6
General 4-Slot2	Advanced Friable Potion Vial Sketch	96894	100	6
General 4-Slot3	Primary Anchor Transport Device	57851	1	6
General 4-Slot4	Basic Suspension of Slime VII	96149	100	6
General 4-Slot5	Advanced Friable Potion Vial Sketch	96894	44	6
General 4-Slot6	Empty	0	0	0
General 4-Slot7	Empty	0	0	0
General 4-Slot8	Empty	0	0	0
General 5	Satchel of Legacies Lost	17527	1	7
General 5-Slot1	Empty	0	0	0
General 5-Slot2	Empty	0	0	0
General 5-Slot3	Empty	0	0	0
General 5-Slot4	Empty	0	0	0
General 5-Slot5	Empty	0	0	0
General 5-Slot6	Empty	0	0	0
General 5-Slot7	Empty	0	0	0
General 6	Trader's Satchel	17899	1	10
General 6-Slot1	Empty	0	0	0
General 6-Slot2	Empty	0	0	0
General 6-Slot3	Empty	0	0	0
General 6-Slot4	Empty	0	0	0
General 6-Slot5	Empty	0	0	0
General 6-Slot6	Empty	0	0	0
General 6-Slot7	Empty	0	0	0
General 6-Slot8	Empty	0	0	0
General 6-Slot9	Empty	0	0	0
General 6-Slot10	Empty	0	0	0
General 7	Trader's Satchel	17899	1	10
General 7-Slot1	Empty	0	0	0
General 7-Slot2	Betherium Bark	22142	2	6
General 7-Slot3	Fellowship Registration Insignia	34023	1	6
General 7-Slot4	Crest Upper Left Field Plate	42711	1	6
General 7-Slot5	Oceangreen Clover	81927	1	6
General 7-Slot6	Bazu Plasma	13658	1	6
General 7-Slot7	Bottle of Hastened Adventure III	64718	1	6
General 7-Slot8	Empty	0	0	0
General 7-Slot9	Sunlight Prism Box	81591	1	4
General 7-Slot9-Slot1	Empty	0	0	0
General 7-Slot9-Slot2	Empty	0	0	0
General 7-Slot9-Slot3	Empty	0	0	0
General 7-Slot9-Slot4	Empty	0	0	0
General 7-Slot10	Desiccated Tongue	81926	1	6
General 8	Backpack	17005	1	8
General 8-Slot1	Rancid Pod of Water	97265	20	6
General 8-Slot2	Empty	0	0	0
General 8-Slot3	Empty	0	0	0
General 8-Slot4	Empty	0	0	0
General 8-Slot5	Rancid Pod of Water	97265	2	6
General 8-Slot6	Tabron's Remedy	17474	1	6
General 8-Slot7	Empty	0	0	0
General 8-Slot8	Empty	0	0	0
General 9	Backpack	17005	1	8
General 9-Slot1	Wrext Mal Insignia	17342	2	6
General 9-Slot2	Empty	0	0	0
General 9-Slot3	Fetid Flesh	17471	1	6
General 9-Slot4	Empty	0	0	0
General 9-Slot5	Empty	0	0	0
General 9-Slot6	Empty	0	0	0
General 9-Slot7	Fungi Covered Great Staff	11058	1	6
General 9-Slot7-Slot1	Empty	0	0	0
General 9-Slot7-Slot2	Empty	0	0	0
General 9-Slot8	Sceptre of Draconic Calling	64089	1	6
General 10	Medicine Bag	17901	1	8
General 10-Slot1	Empty	0	0	0
General 10-Slot2	Empty	0	0	0
General 10-Slot3	Empty	0	0	0
General 10-Slot4	Empty	0	0	0
General 10-Slot5	Empty	0	0	0
General 10-Slot6	Empty	0	0	0
