Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Fingerbone Hoop	14751	1	6
Ear-Slot1	Empty	0	0	0
Head	Cowl of Mortality	26025	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Eyepatch of the Shadows	25031	1	6
Face-Slot1	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Silent Fang Necklace	31221	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Cloak of Fading Hues	19726	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Empty	0	0	0
Back	Cloak of Scales	1546	1	6
Back-Slot1	Empty	0	0	0
Wrist	Wrist Guard of Thunder	25200	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Bracelet of Quickness	7941	1	6
Wrist-Slot1	Minor Stone of Power	32940	1	6
Wrist-Slot2	Empty	0	0	0
Range	Goranga Idol	32334	1	6
Range-Slot1	Empty	0	0	0
Hands	Velium Encrusted Gauntlets	25201	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Fist of Iron	26846	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Adamantite Club	6604	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Fingers	Ring of Chaos	19728	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Thorn Ring of the Seer	32324	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Fungus Covered Scale Tunic	2735	1	6
Chest-Slot1	Empty	0	0	0
Legs	Flayed Barbarian Skin Leggings	25212	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Footpads of the Tiger	6954	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Axgoreth's Belt of Defense	32311	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Lava Braxi Saddle	54807	1	6
General 1	Backpack*	32601	1	8
General 1-Slot1	Bread Cakes*	9991	10	6
