Location	Name	ID	Count	Slots
Charm	Serpent Seeker's Charm of Lore	53505	1	6
Charm-Slot1	Wanderlust Guild Loadstone	53631	1	6
Ear	Earring of Celestial Energy	4119	1	6
Ear-Slot1	Petrified Bladefin Eye	80387	1	6
Head	Phased Energeiac Silk Hat	80587	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Head-Slot3	Empty	0	0	0
Face	Brewer's Leather Facemask	41505	1	6
Face-Slot1	Empty	0	0	0
Ear	Dwerium Trio Earring	37791	1	6
Ear-Slot1	Round Cut Peridot	37818	1	6
Ear-Slot2	Round Cut Opal	37820	1	6
Ear-Slot3	Pear Cut Harmonagate	95800	1	6
Neck	Extended Tessitura Choker	39340	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Najenan Mantle	41509	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Eon Woven Cloth Sleeves	104425	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Arms-Slot3	Empty	0	0	0
Back	Battle Torn Cloak	80679	1	6
Back-Slot1	Empty	0	0	0
Wrist	Paragon's Silk Wristguard	89388	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Wrist	Paragon's Silk Wristband	89389	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Range	The Sweeper	80149	1	6
Range-Slot1	Empty	0	0	0
Hands	Paragon's Silk Gloves	89391	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Hands-Slot3	Empty	0	0	0
Primary	Paragon's Dagger	89428	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Paragon's Aegis	89419	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Secondary-Slot3	Empty	0	0	0
Fingers	Gnoll Brewer's Ring	41443	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Ring of Disdain	47293	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Eon Woven Cloth Robe	104427	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Chest-Slot3	Empty	0	0	0
Legs	Darkened Silversilk Leggings	41323	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Phased Energeiac Silk Slippers	80586	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Feet-Slot3	Empty	0	0	0
Waist	Lost Silverflank Belt	41381	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Dragonfly Saddle	57367	1	6
General 1	Backpack*	32601	1	8
General 1-Slot1	Satchel of Legacies Lost	17527	1	7
General 1-Slot1-Slot1	Empty	0	0	0
General 1-Slot1-Slot2	Empty	0	0	0
General 1-Slot1-Slot3	Empty	0	0	0
General 1-Slot1-Slot4	Empty	0	0	0
General 1-Slot1-Slot5	Empty	0	0	0
General 1-Slot1-Slot6	Empty	0	0	0
General 1-Slot1-Slot7	Empty	0	0	0
General 1-Slot2	Backpack	17005	1	8
General 1-Slot2-Slot1	Empty	0	0	0
General 1-Slot2-Slot2	Empty	0	0	0
General 1-Slot2-Slot3	Empty	0	0	0
General 1-Slot2-Slot4	Empty	0	0	0
General 1-Slot2-Slot5	Empty	0	0	0
General 1-Slot2-Slot6	Empty	0	0	0
General 1-Slot2-Slot7	Empty	0	0	0
General 1-Slot2-Slot8	Empty	0	0	0
General 1-Slot3	Backpack	17005	1	8
General 1-Slot3-Slot1	Empty	0	0	0
General 1-Slot3-Slot2	Empty	0	0	0
General 1-Slot3-Slot3	Empty	0	0	0
General 1-Slot3-Slot4	Empty	0	0	0
General 1-Slot3-Slot5	Empty	0	0	0
General 1-Slot3-Slot6	Empty	0	0	0
General 1-Slot3-Slot7	Empty	0	0	0
General 1-Slot3-Slot8	Empty	0	0	0
General 1-Slot4	Spiderling Silk	13099	10	6
General 1-Slot5	Empty	0	0	0
General 1-Slot6	Empty	0	0	0
General 1-Slot7	Empty	0	0	0
General 1-Slot8	Empty	0	0	0
General 2	Empty	0	0	0
General 3	Empty	0	0	0
General 4	Empty	0	0	0
General 5	Backpack*	32601	1	8
General 5-Slot1	Empty	0	0	0
General 5-Slot2	Empty	0	0	0
General 5-Slot3	Empty	0	0	0
General 5-Slot4	Empty	0	0	0
General 5-Slot5	Empty	0	0	0
General 5-Slot6	Empty	0	0	0
General 5-Slot7	Empty	0	0	0
General 5-Slot8	Empty	0	0	0
General 6	Traveler's Rucksack	54262	1	24
General 6-Slot1	Empty	0	0	0
General 6-Slot2	Empty	0	0	0
General 6-Slot3	Empty	0	0	0
General 6-Slot4	Empty	0	0	0
General 6-Slot5	Empty	0	0	0
General 6-Slot6	Empty	0	0	0
General 6-Slot7	Empty	0	0	0
General 6-Slot8	Empty	0	0	0
General 6-Slot9	Empty	0	0	0
General 6-Slot10	Empty	0	0	0
General 6-Slot11	Empty	0	0	0
General 6-Slot12	Empty	0	0	0
General 6-Slot13	Empty	0	0	0
General 6-Slot14	Empty	0	0	0
General 6-Slot15	Empty	0	0	0
General 6-Slot16	Empty	0	0	0
General 6-Slot17	Empty	0	0	0
General 6-Slot18	Empty	0	0	0
General 6-Slot19	Empty	0	0	0
General 6-Slot20	Empty	0	0	0
General 6-Slot21	Empty	0	0	0
General 6-Slot22	Empty	0	0	0
General 6-Slot23	Empty	0	0	0
General 6-Slot24	Empty	0	0	0
General 7	Trader's Satchel	17899	1	10
General 7-Slot1	Empty	0	0	0
General 7-Slot2	Empty	0	0	0
General 7-Slot3	Empty	0	0	0
General 7-Slot4	Empty	0	0	0
General 7-Slot5	Empty	0	0	0
General 7-Slot6	Empty	0	0	0
General 7-Slot7	Empty	0	0	0
General 7-Slot8	Empty	0	0	0
General 7-Slot9	Crest Lower Right Field Frame	42721	1	6
General 7-Slot10	Crest Upper Left Field Frame	42717	1	6
General 8	Trader's Satchel	17899	1	10
General 8-Slot1	Crest Lower Field Plate	42719	1	6
General 8-Slot2	Crest Lower Right Field Plate	42720	1	6
General 8-Slot3	Metamorph Wand - Domain Prowler	66783	1	6
General 8-Slot4	Fellowship Registration Insignia	34023	1	6
General 8-Slot5	Primary Anchor Transport Device	57851	1	6
General 8-Slot6	Crest Lower Field Frame	42718	1	6
General 8-Slot7	Rancid Pod of Water	97265	17	6
General 8-Slot8	Crest Center Upper Field Frame	42702	1	6
General 8-Slot9	Reconstructed Cultist Manual	17484	1	6
General 8-Slot10	Completed Cultist Cipher	17485	1	6
General 9	Trader's Satchel	17899	1	10
General 9-Slot1	Crest Keep Plate	42710	1	6
General 9-Slot2	Crest Keep Wall Plate	42712	1	6
General 9-Slot3	Crest Upper Right Field Plate	42715	1	6
General 9-Slot4	Crest Upper Right Field Frame	42716	1	6
General 9-Slot5	Snake Venom Gland	17470	1	6
General 9-Slot6	Crest Keep Wall Frame	42706	1	6
