Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Ringlet of the Fallen Spirit	79890	1	6
Ear-Slot1	Empty	0	0	0
Head	Crystal Chitin Circlet	25291	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Veil of the Long Ages	70117	1	6
Face-Slot1	Empty	0	0	0
Ear	Silver Hammer Earring	5596	1	6
Ear-Slot1	Empty	0	0	0
Neck	Silver Amulet	10040	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Prayer Shawl	1904	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Elder Spiritist's Vambraces	4573	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Elaborate Adept's Cloak	50437	1	6
Back-Slot1	Empty	0	0	0
Wrist	Bracelet of Sense	7938	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Elder Spiritist's Bracer	4574	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Festive Doll	69229	1	6
Range-Slot1	Empty	0	0	0
Hands	Elder Spiritist's Gauntlets	4575	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Soulstripper	40007	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Tanglewood Shield	22827	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Fingers	Ring of the Lost Soul	65530	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Ruby Kromrif Citizen's Ring	39504	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Elder Spiritist's Breastplate	4572	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Legs	Elder Spiritist's Greaves	4576	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Coldain Skin Boots	25027	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Cherry Blossom Belt	71416	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Empty	0	0	0
General 1	Backpack	17005	1	8
General 1-Slot1	Empty	0	0	0
General 1-Slot2	Empty	0	0	0
General 1-Slot3	Empty	0	0	0
General 1-Slot4	Empty	0	0	0
General 1-Slot5	Empty	0	0	0
General 1-Slot6	Empty	0	0	0
General 1-Slot7	Empty	0	0	0
General 1-Slot8	Empty	0	0	0
General 2	Backpack	17005	1	8
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Empty	0	0	0
General 2-Slot3	Empty	0	0	0
General 2-Slot4	Empty	0	0	0
General 2-Slot5	Empty	0	0	0
General 2-Slot6	Empty	0	0	0
General 2-Slot7	Empty	0	0	0
General 2-Slot8	Empty	0	0	0
General 3	Shralok Pack	17401	1	8
General 3-Slot1	Distillate of Celestial Healing IX	77787	18	6
General 3-Slot2	Distillate of Clarity X	77828	3	6
General 3-Slot3	Distillate of Celestial Healing I	77779	20	6
General 3-Slot4	Distillate of Clarity I	77819	2	6
General 3-Slot5	Iron Ration	13005	9	6
General 3-Slot6	Shaped Pale Nihilite	37857	3	6
General 3-Slot7	Rancid Pod of Water	97265	11	6
General 3-Slot8	Diseased Fruit	97262	13	6
General 4	Dusty Ransacker's Pack	17081	1	8
General 4-Slot1	Empty	0	0	0
General 4-Slot2	Empty	0	0	0
General 4-Slot3	Empty	0	0	0
General 4-Slot4	Empty	0	0	0
General 4-Slot5	Lost Calling Staff of Cazic-Thule	41374	1	6
General 4-Slot5-Slot1	Empty	0	0	0
General 4-Slot5-Slot2	Empty	0	0	0
General 4-Slot6	Iron Ration	13005	20	6
General 4-Slot7	Shard of Expanding Power	80397	1	6
General 4-Slot8	Fellowship Registration Insignia	34023	1	6
General 5	Large Sewing Kit	17880	1	8
General 5-Slot1	Empty	0	0	0
General 5-Slot2	Empty	0	0	0
General 5-Slot3	Empty	0	0	0
General 5-Slot4	Empty	0	0	0
General 5-Slot5	Empty	0	0	0
General 5-Slot6	Empty	0	0	0
General 5-Slot7	Empty	0	0	0
General 5-Slot8	Empty	0	0	0
General 6	Empty	0	0	0
