Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Joen's Earring of the Hollow	53501	1	6
Ear-Slot1	Crude Defiant Emerald	50501	1	6
Head	Crude Defiant Cloth Cap	50029	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Empty	0	0	0
Ear	Simple Scryer's Earring	108330	1	6
Ear-Slot1	Empty	0	0	0
Neck	Kamilah's Amulet of Love	53493	1	6
Neck-Slot1	Crude Defiant Stone Fragment	50504	1	6
Shoulders	Mucktail Mantle	46224	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Simple Defiant Cloth Sleeves	50058	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Tattered Nokk Cloak	46226	1	6
Back-Slot1	Empty	0	0	0
Wrist	Quill-Studded Bracer	53486	1	6
Wrist-Slot1	Dragon Scale Sliver	51917	1	6
Wrist-Slot2	Empty	0	0	0
Wrist	Empty	0	0	0
Range	Simple Scryer's Figurine	108336	1	6
Range-Slot1	Empty	0	0	0
Hands	Simple Defiant Cloth Gloves	50055	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Staff of the Dark Apprentice	53494	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Farmer Joen's Entrapment Ring	53497	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Simple Scryer's Band	108338	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Bezuth's Crocskin Tunic	53489	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Legs	Simple Consigned Cloth Pantaloons	108059	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Simple Defiant Cloth Sandals	50056	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Drake Tail Belt	46202	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Verdant Hedgerow Leaf	52096	1	6
General 1	Malachite	10015	81	6
General 2	Backpack	17005	1	8
General 2-Slot1	Crystalline Silk Belt	25553	1	6
General 2-Slot1-Slot1	Empty	0	0	0
General 2-Slot2	Ichor Encrusted Chain Gloves	46235	1	6
General 2-Slot2-Slot1	Empty	0	0	0
General 2-Slot2-Slot2	Empty	0	0	0
General 2-Slot3	Head of Plaguebringer	64093	1	6
General 2-Slot4	The Ogres Come of Age	57975	1	6
General 2-Slot5	Blightfire Legging Pattern	64114	1	6
General 2-Slot6	Section of Rat Pancreas	97348	1	6
General 2-Slot7	Rat Meat	13408	1	6
General 2-Slot8	Crown of Elemental Mastery	20764	1	6
