Location	Name	ID	Count	Slots
Charm	Heroic Seal of the Adventurer	93849	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Empty	0	0	0
Ear	Heroic Earring of the Summoner	93828	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Empty	0	0	0
Head	Heroic Conjuredflame Cap	93792	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Heroic Mask of the Agile	93830	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Empty	0	0	0
Ear	Heroic Earring of the Adept	93826	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Empty	0	0	0
Neck	Heroic Gorget of the Adept	93833	1	6
Neck-Slot1	Empty	0	0	0
Neck-Slot2	Empty	0	0	0
Shoulders	Heroic Shoulders of the Agile	93836	1	6
Shoulders-Slot1	Empty	0	0	0
Shoulders-Slot2	Empty	0	0	0
Arms	Heroic Conjuredflame Sleeves	93793	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Heroic Cloak of the Adept	93838	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Empty	0	0	0
Wrist	Heroic Conjuredflame Wristguard	93789	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Heroic Conjuredflame Wristguard	93789	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Heroic Rod of the Adept	93842	1	6
Range-Slot1	Empty	0	0	0
Range-Slot2	Empty	0	0	0
Hands	Heroic Conjuredflame Gloves	93790	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Heroic Darkdreamer's Rod	93855	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Heroic Guard	93823	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Secondary-Slot3	Empty	0	0	0
Fingers	Heroic Ring of the Adept	93845	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Empty	0	0	0
Fingers	Heroic Ring of the Adventurer	93843	1	6
Fingers-Slot1	Empty	0	0	0
Fingers-Slot2	Empty	0	0	0
Chest	Heroic Conjuredflame Robe	93795	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Chest-Slot3	Empty	0	0	0
Legs	Heroic Conjuredflame Pants	93794	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Heroic Conjuredflame Sandals	93791	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Heroic Belt of the Adept	93848	1	6
Waist-Slot1	Empty	0	0	0
Waist-Slot2	Empty	0	0	0
Power Source	Pure Energeian Light Orb	66277	1	6
Ammo	Jungle Raptor Saddle	93862	1	6
General 1	Extraplanar Trade Satchel	67633	1	32
General 1-Slot1	Malachite	10015	100	6
General 1-Slot2	Malachite	10015	100	6
General 1-Slot3	Black Marble	25805	4	6
General 1-Slot4	Opal	10030	1	6
General 1-Slot5	Peridot	10028	1	6
General 1-Slot6	Rubicite Ore	34243	5	6
General 1-Slot7	Spell: Monster Summoning II	30402	1	6
General 1-Slot8	Sunshard Pebble	33791	1	6
General 1-Slot9	Fire Emerald	10033	1	6
General 1-Slot10	Fire Opal	10031	1	6
General 1-Slot11	Sapphire	10034	1	6
General 1-Slot12	Star Ruby	10032	1	6
General 1-Slot13	Empty	0	0	0
General 1-Slot14	Empty	0	0	0
General 1-Slot15	Empty	0	0	0
General 1-Slot16	Empty	0	0	0
General 1-Slot17	Empty	0	0	0
General 1-Slot18	Empty	0	0	0
General 1-Slot19	Empty	0	0	0
General 1-Slot20	Empty	0	0	0
General 1-Slot21	Empty	0	0	0
General 1-Slot22	Empty	0	0	0
General 1-Slot23	Empty	0	0	0
General 1-Slot24	Empty	0	0	0
General 1-Slot25	Empty	0	0	0
General 1-Slot26	Empty	0	0	0
General 1-Slot27	Empty	0	0	0
General 1-Slot28	Empty	0	0	0
General 1-Slot29	Empty	0	0	0
General 1-Slot30	Empty	0	0	0
General 1-Slot31	Empty	0	0	0
General 1-Slot32	Empty	0	0	0
General 2	Heroic Satchel of the Adventurer	93861	1	24
General 2-Slot1	Fellspine's Tail	24734	1	6
General 2-Slot1-Slot1	Empty	0	0	0
General 2-Slot1-Slot2	Empty	0	0	0
General 2-Slot2	Gold Gem Dusted Rune	38700	1	6
General 2-Slot3	Crushed Opal	25836	1	6
General 2-Slot4	Swordfish Bill	7019	1	6
General 2-Slot4-Slot1	Empty	0	0	0
General 2-Slot4-Slot2	Empty	0	0	0
General 2-Slot5	Swordfish Bill	7019	1	6
General 2-Slot5-Slot1	Empty	0	0	0
General 2-Slot5-Slot2	Empty	0	0	0
General 2-Slot6	Crushed Topaz	25832	2	6
General 2-Slot7	Chipped Black Marble	25819	1	6
General 2-Slot8	Spell: Translocate: Group	19474	1	6
General 2-Slot9	Exquisite Gem Dusted Rune	38699	3	6
General 2-Slot10	Flawed Opal	25822	1	6
General 2-Slot11	Nephrite	25816	1	6
General 2-Slot12	Flawed Flame Opal	25823	1	6
General 2-Slot13	Flawed Emerald	25821	1	6
General 2-Slot14	Flawed Chrysolite	25820	1	6
General 2-Slot15	Flawless Diamond	25814	2	6
General 2-Slot16	Ornately Runed Shell Necklace	28515	1	6
General 2-Slot16-Slot1	Empty	0	0	0
General 2-Slot17	Siren's Shield	24722	1	6
General 2-Slot17-Slot1	Empty	0	0	0
General 2-Slot17-Slot2	Empty	0	0	0
General 2-Slot18	Pristine Emerald	25807	3	6
General 2-Slot19	Spell: Gift of Insight	30409	2	6
General 2-Slot20	Complex Gold Gem Dusted Rune	38701	1	6
General 2-Slot21	Exquisite Gold Gem Dusted Rune	38702	2	6
General 2-Slot22	Spell: Augmentation of Death	30414	3	6
General 2-Slot23	Spell: Wrath of the Elements	30405	3	6
General 2-Slot24	Emerald Ring	10045	1	6
General 2-Slot24-Slot1	Empty	0	0	0
General 3	Heroic Satchel of the Adventurer	93861	1	24
General 3-Slot1	Rusted Ring of Power	62271	1	6
General 3-Slot1-Slot1	Empty	0	0	0
General 3-Slot2	Velium Gem Dusted Rune	38706	2	6
General 3-Slot3	Pearl Earring	10002	1	6
