Location	Name	ID	Count	Slots
Charm	Flawed Defiant Charm	60561	1	6
Charm-Slot1	Empty	0	0	0
Ear	Flawed Adept's Earring	60538	1	6
Ear-Slot1	Empty	0	0	0
Head	Flawed Defiant Silk Cap	60524	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Head-Slot3	Empty	0	0	0
Face	Flawed Adept's Facemask	60540	1	6
Face-Slot1	Empty	0	0	0
Ear	Flawed Adept's Ear Loop	60539	1	6
Ear-Slot1	Empty	0	0	0
Neck	Flawed Adept's Necklace	60541	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Flawed Adept's Shoulderpads	60542	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Flawed Defiant Silk Sleeves	60525	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Arms-Slot3	Empty	0	0	0
Back	Flawed Adept's Cape	60543	1	6
Back-Slot1	Empty	0	0	0
Wrist	Flawed Defiant Silk Wristwrap	60521	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Wrist	Flawed Defiant Silk Wristwrap	60521	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Range	Flawed Adept's Rake	60544	1	6
Range-Slot1	Empty	0	0	0
Hands	Flawed Defiant Silk Gloves	60522	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Hands-Slot3	Empty	0	0	0
Primary	Flawed Defiant Dagger	60553	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Flawed Defiant Carapace	60560	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Fingers	Flawed Adept's Ring	60545	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Flawed Adept's Band	60546	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Flawed Defiant Silk Robe	60527	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Chest-Slot3	Empty	0	0	0
Legs	Flawed Defiant Silk Pantaloons	60526	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Legs-Slot3	Empty	0	0	0
Feet	Flawed Defiant Silk Sandals	60523	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Feet-Slot3	Empty	0	0	0
Waist	Flawed Adept's Belt	60547	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Empty	0	0	0
General 1	Backpack*	32601	1	8
General 1-Slot1	Bread Cakes*	9991	20	6
General 1-Slot2	Skin of Milk	9990	20	6
General 1-Slot3	Flawed Defiant Mace	60549	1	6
General 1-Slot3-Slot1	Empty	0	0	0
General 1-Slot3-Slot2	Empty	0	0	0
General 1-Slot4	Empty	0	0	0
General 1-Slot5	Empty	0	0	0
General 1-Slot6	Empty	0	0	0
General 1-Slot7	Empty	0	0	0
General 1-Slot8	Empty	0	0	0
General 2	Tattered Note	18758	1	6
General 3	Backpack*	32601	1	8
General 3-Slot1	Backpack*	32601	1	8
General 3-Slot1-Slot1	Empty	0	0	0
General 3-Slot1-Slot2	Empty	0	0	0
General 3-Slot1-Slot3	Empty	0	0	0
General 3-Slot1-Slot4	Empty	0	0	0
General 3-Slot1-Slot5	Empty	0	0	0
General 3-Slot1-Slot6	Empty	0	0	0
