Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Empty	0	0	0
Head	Coif of Wrath	55498	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Reakash's Purifying Mask	53503	1	6
Face-Slot1	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Empty	0	0	0
Shoulders	Crushbone Shoulderpads	13319	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Sleeves of Wrath	55500	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Dire Wolf-Hide Cloak	25019	1	6
Back-Slot1	Empty	0	0	0
Wrist	Bracer of Wrath	55494	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Bracer of Wrath	55494	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Gloomingdeep Lantern	9979	1	6
Range-Slot1	Empty	0	0	0
Hands	Empty	0	0	0
Primary	Doljonijiarnimorinar	25595	1	6
Primary-Slot1	Empty	0	0	0
Primary-Slot2	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Empty	0	0	0
Fingers	Empty	0	0	0
Chest	Empty	0	0	0
Legs	Empty	0	0	0
Feet	Boots of Wrath	55499	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Boawb's Crescent Buckle Belt	53502	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Metamorph Totem: Murikaglider	106997	1	6
General 1	Trader's Satchel	17899	1	10
General 1-Slot1	Distillate of Celestial Healing V	77783	20	6
General 1-Slot2	Distillate of Celestial Healing V	77783	20	6
General 1-Slot3	Prize: Estarim Family Crest	119821	1	6
General 1-Slot4	Distillate of Celestial Healing X	77788	20	6
General 1-Slot5	Aderirse Bur	35089	100	6
General 1-Slot6	Prize: Clicking Beetle	110372	1	6
General 1-Slot7	Empty	0	0	0
General 1-Slot8	Empty	0	0	0
General 1-Slot9	Ssraeshzian Cloth Robe Ornament	84960	1	6
General 1-Slot10	Patorav's Amulet	51477	1	6
General 2	Trader's Satchel	17899	1	10
General 2-Slot1	Empty	0	0	0
General 2-Slot2	Glowing Black Drum	59509	1	6
General 2-Slot3	Glowing Black Drum	59509	1	6
General 2-Slot4	Glowing Black Drum	59509	1	6
General 2-Slot5	Glowing Black Drum	59509	1	6
General 2-Slot6	Glowing Black Drum	59509	1	6
General 2-Slot7	Empty	0	0	0
General 2-Slot8	Empty	0	0	0
General 2-Slot9	Empty	0	0	0
General 2-Slot10	Empty	0	0	0
General 3	Trader's Satchel	17899	1	10
General 3-Slot1	Empty	0	0	0
General 3-Slot2	Glowing Black Drum	59509	1	6
General 3-Slot3	Glowing Black Drum	59509	1	6
General 3-Slot4	Empty	0	0	0
General 3-Slot5	Glowing Black Drum	59509	1	6
General 3-Slot6	Empty	0	0	0
General 3-Slot7	Cloak of Flames	11621	1	6
General 3-Slot7-Slot1	Empty	0	0	0
General 3-Slot8	Empty	0	0	0
General 3-Slot9	Ssraeshzian Cloth Robe Ornament	84960	1	6
General 3-Slot10	Orc Tibia	16186	1	6
General 4	Trader's Satchel	17899	1	10
General 4-Slot1	Empty	0	0	0
General 4-Slot2	Empty	0	0	0
General 4-Slot3	Guise of the Deceiver	2469	1	6
General 4-Slot3-Slot1	Empty	0	0	0
General 4-Slot4	Guise of the Deceiver	2469	1	6
General 4-Slot4-Slot1	Empty	0	0	0
General 4-Slot5	Empty	0	0	0
General 4-Slot6	Guise of the Deceiver	2469	1	6
General 4-Slot6-Slot1	Empty	0	0	0
General 4-Slot7	Guise of the Deceiver	2469	1	6
General 4-Slot7-Slot1	Empty	0	0	0
General 4-Slot8	Glowing Black Drum	59509	1	6
General 4-Slot9	Glowing Black Drum	59509	1	6
General 4-Slot10	Empty	0	0	0
General 5	Trader's Satchel	17899	1	10
General 5-Slot1	Glowing Black Drum	59509	1	6
General 5-Slot2	Ssraeshzian Plate Chest Ornament	84933	1	6
General 5-Slot3	Glowing Black Drum	59509	1	6
General 5-Slot4	Ssraeshzian Chain Chest Ornament	84940	1	6
General 5-Slot5	Empty	0	0	0
General 5-Slot6	Ssraeshzian Plate Leg Ornament	84937	1	6
General 5-Slot7	Empty	0	0	0
General 5-Slot8	Ssraeshzian Cloth Chest Ornament	84954	1	6
General 5-Slot9	Empty	0	0	0
General 5-Slot10	Empty	0	0	0
General 6	Trader's Satchel	17899	1	10
General 6-Slot1	Urticaceae	35086	29	6
General 6-Slot2	Steel Axe	69012	40	6
General 6-Slot3	Versluierd Fungus	35087	4	6
General 6-Slot4	Empty	0	0	0
General 6-Slot5	Empty	0	0	0
General 6-Slot6	Empty	0	0	0
General 6-Slot7	Empty	0	0	0
General 6-Slot8	Empty	0	0	0
General 6-Slot9	Empty	0	0	0
General 6-Slot10	Empty	0	0	0
General 7	Trader's Satchel	17899	1	10
General 7-Slot1	Empty	0	0	0
General 7-Slot2	Empty	0	0	0
General 7-Slot3	Empty	0	0	0
General 7-Slot4	Empty	0	0	0
General 7-Slot5	Empty	0	0	0
General 7-Slot6	Empty	0	0	0
General 7-Slot7	Empty	0	0	0
General 7-Slot8	Empty	0	0	0
General 7-Slot9	Empty	0	0	0
General 7-Slot10	Empty	0	0	0
General 8	Trader's Satchel	17899	1	10
General 8-Slot1	Empty	0	0	0
General 8-Slot2	Empty	0	0	0
General 8-Slot3	Empty	0	0	0
General 8-Slot4	Empty	0	0	0
General 8-Slot5	Empty	0	0	0
General 8-Slot6	Empty	0	0	0
General 8-Slot7	Empty	0	0	0
General 8-Slot8	Empty	0	0	0
General 8-Slot9	Empty	0	0	0
General 8-Slot10	Empty	0	0	0
General 9	Dreamweave Satchel	52142	1	16
General 9-Slot1	Empty	0	0	0
General 9-Slot2	Empty	0	0	0
General 9-Slot3	Empty	0	0	0
General 9-Slot4	Empty	0	0	0
General 9-Slot5	Empty	0	0	0
General 9-Slot6	Empty	0	0	0
General 9-Slot7	Empty	0	0	0
General 9-Slot8	Empty	0	0	0
General 9-Slot9	Empty	0	0	0
General 9-Slot10	Empty	0	0	0
General 9-Slot11	Empty	0	0	0
General 9-Slot12	Empty	0	0	0
General 9-Slot13	Empty	0	0	0
General 9-Slot14	Empty	0	0	0
General 9-Slot15	Empty	0	0	0
General 9-Slot16	Empty	0	0	0
General 10	Trader's Satchel	17899	1	10
General 10-Slot1	Distillate of Skinspikes V	96424	20	6
General 10-Slot2	Insignia of Greenblood	28070	1	6
General 10-Slot3	Axe of the Frost	25004	1	6
General 10-Slot3-Slot1	Empty	0	0	0
General 10-Slot3-Slot2	Empty	0	0	0
General 10-Slot4	Simple Consigned Greataxe	108532	1	6
General 10-Slot4-Slot1	Empty	0	0	0
General 10-Slot4-Slot2	Empty	0	0	0
General 10-Slot5	Empty	0	0	0
General 10-Slot6	Empty	0	0	0
General 10-Slot7	Empty	0	0	0
General 10-Slot8	Empty	0	0	0
General 10-Slot9	Empty	0	0	0
General 10-Slot10	Empty	0	0	0
Held	Empty	0	0	0
Bank1	Trader's Satchel	17899	1	10
Bank1-Slot1	Refined Binding Powder	36283	1	6
Bank1-Slot2	Fine Animal Pelt	34232	1	6
Bank1-Slot3	Sooty Fine Runic Papyrus	97877	1	6
Bank1-Slot4	Concentrated Grade AA Gormar Venom	44770	1	6
Bank1-Slot5	Stale Muscimol	44912	2	6
Bank1-Slot6	Empty	0	0	0
Bank1-Slot7	Empty	0	0	0
Bank1-Slot8	Iceshaper's Staff	25055	1	6
Bank1-Slot8-Slot1	Empty	0	0	0
Bank1-Slot8-Slot2	Empty	0	0	0
Bank1-Slot9	Empty	0	0	0
Bank1-Slot10	Empty	0	0	0
Bank2	Trader's Satchel	17899	1	10
Bank2-Slot1	Empty	0	0	0
Bank2-Slot2	Empty	0	0	0
Bank2-Slot3	Torn Pages	88180	1	6
Bank2-Slot4	Consigned Bite of the Shissar XI	44556	3	6
Bank2-Slot5	Rugous Globe	20945	1	6
Bank2-Slot6	Diaphanous Globe	20943	1	6
Bank2-Slot7	Weak Black Voidsoul	49993	1	6
Bank2-Slot8	Dragon-Hide Mantle	20854	1	6
Bank2-Slot8-Slot1	Empty	0	0	0
Bank2-Slot9	Empty	0	0	0
Bank2-Slot10	Empty	0	0	0
Bank3	Trader's Satchel	17899	1	10
Bank3-Slot1	Giant Blood	97328	1	6
Bank3-Slot2	Snake Shedding	97249	4	6
