RealEstateLocation	RealEstateName	ItemName	ItemOwner	Status	ID	Count
Neighborhood	Chivalry Village, 102 Vanward Street	Estate Storage Crate	Trammek	Placed	62595	1
Neighborhood	Chivalry Village, 102 Vanward Street	Monel Style Brick Domicile, Stone Interior	Trammek	Placed	61894	1
Plot	Chivalry Village, 102 Vanward Street, Estate Storage Crate	Glowing Black Drum	Altereon	Stored	59509	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Sword of Avanish Ornament	Trammek	Stored	101987	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Spore Curer Bait	Trammek	Stored	101986	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Nimbus of Runes	Trammek	Stored	110363	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Nimbus of Runes	Trammek	Stored	110363	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Nimbus of Dust Storm	Trammek	Stored	110362	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Magi Shield Ornament	Trammek	Stored	110333	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Great Blade of Bones Ornament Pack	Trammek	Stored	110346	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Fist of Avanish Ornament	Trammek	Stored	101997	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Familiar of the Kobold King	Trammek	Stored	114921	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Great Blade Ornamentation	Trammek	Stored	114890	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Great Blade Ornamentation	Trammek	Stored	114890	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Great Blade Ornamentation	Trammek	Stored	114890	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Fist Ornamentation	Trammek	Stored	114893	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Fist Ornamentation	Trammek	Stored	114893	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Dagger Ornamentation	Trammek	Stored	114891	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Dagger Ornamentation	Trammek	Stored	114891	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Draconic Blade Ornamentation	Trammek	Stored	114889	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Crystalline Shield Nimbus	Trammek	Stored	101992	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Crushbone Contract	Trammek	Stored	101991	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Combine Arming Sword Ornament	Trammek	Stored	110339	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Clicking Beetle	Trammek	Stored	110372	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Clawed Skull Ornament Pack	Trammek	Stored	110342	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Claw of the Fallen Dragon Ornament	Trammek	Stored	119787	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Building Block - Cube - Draconic	Trammek	Stored	119795	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Bridle of the Viridian Cragslither	Trammek	Stored	114877	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Bridle of the Seething Chimera	Trammek	Stored	114843	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Bridle of the Plagued Cragslither	Trammek	Stored	114903	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Bridle of the Emerald Sokokar	Trammek	Stored	114956	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Brell's Hammer Ornament	Trammek	Stored	110358	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Bow of the Vermilion Dragon Ornament	Trammek	Stored	119760	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Balebri's Club Ornament	Trammek	Stored	119810	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Balebri's Club Ornament	Trammek	Stored	119810	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Balebri's Club Ornament	Trammek	Stored	119810	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Axe of Bones Ornament Pack	Trammek	Stored	110341	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Avanish Guard Ornament	Trammek	Stored	101975	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Ebon Hero's Forge Leather Wrist Ornament	Trammek	Stored	87821	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Tunarian Spear Ornamentation	Trammek	Stored	114918	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Tunarian Spear Ornamentation	Trammek	Stored	114918	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Tunarian Great Axe Ornamentation	Trammek	Stored	114916	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Tunarian Great Axe Ornamentation	Trammek	Stored	114916	1
Plot	Chivalry Village, 102 Vanward Street, Three Room House	Prize: Title of the Legend of Norrath	Trammek	Stored	114978	1
