Location	Name	ID	Count	Slots
Charm	Talisman of Werewolf Brain	101027	1	6
Charm-Slot1	Empty	0	0	0
Ear	Earring of Dark Conflict	47289	1	6
Ear-Slot1	Empty	0	0	0
Head	Singing Energeiac Plate Helm	80552	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Head-Slot3	Ssraeshzian Plate Helm Ornament	84932	1	6
Face	Redshell Mask	105533	1	6
Face-Slot1	Empty	0	0	0
Ear	Stud of Chilling Precision	47285	1	6
Ear-Slot1	Empty	0	0	0
Neck	Choker of Imprisoned Visions	47274	1	6
Neck-Slot1	Empty	0	0	0
Shoulders	Darkened Adamantite Epaulets	41308	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Singing Energeiac Plate Vambraces	80553	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Arms-Slot3	Ssraeshzian Plate Arm Ornament	84934	1	6
Back	Cloak of Regretful Transgressions	47304	1	6
Back-Slot1	Empty	0	0	0
Wrist	Paragon's Plate Wristband	89365	1	6
Wrist-Slot1	Desiccated Tongue	81926	1	6
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Empty	0	0	0
Wrist	Paragon's Plate Bracer	89363	1	6
Wrist-Slot1	Feather Bundle	51924	1	6
Wrist-Slot2	Empty	0	0	0
Wrist-Slot3	Ssraeshzian Plate Wrist Ornament	84935	1	6
Range	Totem of the Chimera	47296	1	6
Range-Slot1	Empty	0	0	0
Hands	Eon Forged Plate Gauntlets	104401	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Hands-Slot3	Ssraeshzian Plate Hand Ornament	84936	1	6
Primary	Scimitar of the Damned	80674	1	6
Primary-Slot1	Azure Drop	83414	1	6
Primary-Slot2	Empty	0	0	0
Secondary	Deepscar Painsmasher	102545	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Empty	0	0	0
Fingers	Ring of the Beast	47292	1	6
Fingers-Slot1	Oceangreen Clover	81927	1	6
Fingers	Restless Golden Band	41510	1	6
Fingers-Slot1	Portal Scrap	51926	1	6
Chest	Cuirass of the Fallen Saint	83603	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Ssraeshzian Plate Chest Ornament	84933	1	6
Legs	Singing Energeiac Plate Greaves	80554	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Legs-Slot3	Ssraeshzian Plate Leg Ornament	84937	1	6
Feet	Lost Rubicite Boots	41467	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Feet-Slot3	Ssraeshzian Plate Boot Ornament	84938	1	6
Waist	Darkened Thick Banded Belt	41302	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Empty	0	0	0
General 1	Traveler's Rucksack	54262	1	24
General 1-Slot1	Paragon's Targe	89418	1	6
General 1-Slot1-Slot1	Empty	0	0	0
General 1-Slot1-Slot2	Empty	0	0	0
General 1-Slot1-Slot3	Empty	0	0	0
General 1-Slot2	Heraldic Keep	42723	1	6
General 1-Slot3	Rancid Pod of Water	97265	20	6
General 1-Slot4	Iron Ration	13005	20	6
General 1-Slot5	Gold-Plated Lyre of the Suitor	83597	1	6
General 1-Slot5-Slot1	Empty	0	0	0
General 1-Slot6	Serene Light of the Heavens	81592	1	6
General 1-Slot7	Crest Lower Field Frame	42718	1	6
General 1-Slot8	Rancid Pod of Water	97265	20	6
General 1-Slot9	Crest Left Upper Field Plate	42701	1	6
General 1-Slot10	Tuft of Gray Wolf Fur	77695	5	6
General 1-Slot11	Reconstructed Cultist Manual	17483	1	6
General 1-Slot12	Completed Cultist Cipher	17485	1	6
General 1-Slot13	Rancid Pod of Water	97265	20	6
General 1-Slot14	Crest Left Upper Field Frame	42700	1	6
General 1-Slot15	Bertoxxulian Badge of Station	17486	1	6
General 1-Slot16	Timeshear Purple Fragment Azia	42861	1	6
General 1-Slot17	Rancid Pod of Water	97265	20	6
General 1-Slot18	Diseased Vegetables	97261	13	6
General 1-Slot19	Empty	0	0	0
General 1-Slot20	Petrified Werewolf Skull	20525	1	6
General 1-Slot21	Empty	0	0	0
General 1-Slot22	Crest Upper Left Field Frame	42717	1	6
General 1-Slot23	Fire Opal	10031	1	6
General 1-Slot24	Sapphire	10034	1	6
General 2	Backpack	17005	1	8
General 2-Slot1	Roots	13047	1	6
